Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,32,LAA,AL,92,317,-7,-1,-1,0,5,-4,-0.4,11,7,0.7,0.495,0.497,0.7,0.6,7,"$5,525,000 ",2/3D,
2015,35,LAA,AL,157,661,12,-1,0,5,-11,6,0.8,24,29,3.1,0.504,0.504,2.6,-0.6,24,"$24,000,000 ",3D/5,AS
2015,27,LAA,AL,129,502,-2,1,1,-12,3,-8,-0.8,18,10,1,0.493,0.495,2.3,-0.9,22,"$516,250 ",*4/6,
2015,31,LAA,AL,156,638,-13,6,2,-3,8,-1,0.1,23,22,2.3,0.5,0.5,2.6,0.6,25,"$8,500,000 ",*6/D,
2015,32,LAA,AL,121,470,7,0,-1,-2,2,6,0.7,17,22,2.3,0.505,0.504,2.6,0,24,"$6,425,000 ",*5/D,
2015,30,LAA,AL,93,284,-12,-1,1,-3,-4,-19,-2,10,-9,-1,0.478,0.487,-0.6,-0.7,-6,"$4,750,000 ",7D/9,
2015,23,LAA,AL,159,682,59,-1,0,5,3,66,7,24,90,9.4,0.543,0.542,8.9,1,85,"$6,083,000 ",*8/D,ASMVP-2SS
2015,27,LAA,AL,159,686,2,3,0,6,-6,4,0.6,24,29,3,0.503,0.503,2.4,0,23,"$537,500 ",*9/3D,GG
2015,25,LAA,AL,113,404,0,0,0,-5,-8,-12,-1.2,14,2,0.2,0.488,0.492,0.7,-1.3,7,"$512,500 ",3D,
2015,24,LAA,AL,86,283,-4,0,0,0,5,0,0.1,10,10,1.1,0.501,0.5,1.1,0.6,11,,2/3D,
2015,25,LAA,AL,101,169,-14,1,1,9,3,-1,-0.1,6,5,0.5,0.499,0.499,-0.4,1.3,-4,,546/D,
2015,33,LAA,AL,48,162,-3,-1,0,-2,-2,-8,-0.8,6,-2,-0.2,0.483,0.495,0,-0.4,0,"$6,000,000 ",7/D,
2015,34,LAA,AL,38,98,-5,1,0,-2,-1,-6,-0.7,4,-3,-0.3,0.482,0.496,-0.1,-0.3,-1,,Jul-89,
