Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,28,HOU,AL,104,375,-12,0,0,4,6,-1,-0.1,13,12,1.3,0.499,0.499,0.8,1.2,8,"$4,000,000 ",2,
2015,28,HOU,AL,129,460,-1,-2,-1,-6,-7,-16,-1.7,16,0,-0.1,0.486,0.489,0.6,-1.3,6,"$4,175,000 ",*3/D,
2015,25,HOU,AL,154,689,17,-4,-1,3,4,19,2.2,23,43,4.5,0.513,0.513,4.2,0.8,40,"$2,500,000 ",*4/D,ASMVP-10GGSS
2015,20,HOU,AL,99,432,15,3,1,0,5,24,2.7,15,39,4.1,0.526,0.516,4.1,0.6,39,,6,MVP-24RoY-1
2015,29,HOU,AL,132,493,3,0,-1,1,0,3,0.4,18,20,2.1,0.502,0.502,2,0.2,19,"$4,200,000 ",53/D4,
2015,24,HOU,AL,98,323,1,-1,1,-5,-4,-8,-0.8,12,3,0.3,0.491,0.494,0.8,-0.9,8,,79/D,
2015,24,HOU,AL,133,372,-9,1,1,13,1,7,0.9,13,21,2.2,0.506,0.505,0.8,1.6,8,"$511,200 ",*879/D,
2015,25,HOU,AL,102,451,16,1,0,6,-4,20,2.2,16,36,3.8,0.521,0.513,3.1,0.3,30,"$512,900 ",98,
2015,28,HOU,AL,153,604,2,-1,0,-4,-13,-16,-1.6,22,5,0.5,0.488,0.489,0.9,-1.8,9,"$526,500 ",*D7,
2015,28,HOU,AL,137,485,7,2,0,2,-4,7,0.9,17,25,2.6,0.506,0.505,2.4,-0.1,23,"$8,000,000 ",*789,
2015,26,HOU,AL,120,370,3,0,-1,3,-1,4,0.5,13,17,1.8,0.503,0.502,1.5,0.3,14,"$1,062,500 ",36547/D,
2015,31,HOU,AL,69,263,-1,2,1,-3,2,0,0.1,9,10,1,0.5,0.5,1.3,-0.1,13,"$8,000,000 ",56/D,
2015,27,HOU,AL,73,229,1,-2,-1,-6,4,-4,-0.4,8,4,0.4,0.494,0.497,1.1,-0.2,10,"$1,075,000 ",2/7/16,
