Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,30,OAK,AL,136,511,7,-1,0,4,4,15,1.7,18,33,3.5,0.512,0.51,3.1,1,29,"$512,500 ",23/D,AS
2015,26,OAK,AL,124,485,2,2,0,-4,-7,-6,-0.6,17,11,1.1,0.495,0.496,1.6,-1.1,15,,37/9D5,
2015,29,OAK,AL,120,401,-16,1,0,6,3,-6,-0.6,14,8,0.8,0.495,0.496,0.2,1,2,"$1,075,000 ",46/D5,
2015,24,OAK,AL,155,601,-6,0,-2,4,8,4,0.6,22,26,2.7,0.503,0.503,2.3,1.4,22,"$510,000 ",*6,
2015,25,OAK,AL,149,602,-4,1,3,-6,3,-3,-0.2,22,18,1.9,0.498,0.498,2.6,-0.2,24,"$1,925,000 ",*54/D,
2015,33,OAK,AL,120,325,-13,3,1,9,-2,-3,-0.3,12,9,0.9,0.497,0.498,-0.1,0.8,0,"$1,750,000 ",789/D,
2015,25,OAK,AL,125,555,-3,2,2,4,3,7,0.9,19,26,2.8,0.506,0.505,2.4,0.8,22,,*8,RoY-5
2015,28,OAK,AL,149,582,11,3,3,1,-6,12,1.5,21,33,3.5,0.509,0.508,3.4,-0.4,32,"$4,100,000 ",*9/D8,
2015,29,OAK,AL,151,601,-5,-5,-3,-2,-13,-29,-3,22,-7,-0.9,0.479,0.481,-0.6,-1.5,-5,"$6,666,000 ",*D/3,
2015,34,OAK,AL,67,271,5,-1,1,-8,-1,-3,-0.2,10,7,0.7,0.495,0.498,1.5,-0.9,15,,47/D9,
2015,27,OAK,AL,73,243,2,-2,-1,3,4,6,0.8,9,15,1.6,0.509,0.504,1.3,0.8,12,"$510,000 ",2,
2015,28,OAK,AL,72,239,-5,-2,0,-1,-3,-12,-1.2,9,-3,-0.4,0.482,0.492,-0.3,-0.4,-2,"$3,800,000 ",3/1D,
2015,30,OAK,AL,47,205,9,-1,-1,0,1,8,0.9,7,16,1.6,0.519,0.506,1.6,0.1,16,,5/D,
