Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,31,ATL,NL,156,686,13,0,-1,-6,-6,0,-0.2,21,21,1.9,0.5,0.5,2.5,-1.5,27,"$11,000,000 ",*9/D,
2015,25,ATL,NL,152,597,-13,-2,1,-1,4,-11,-1.4,19,8,0.5,0.492,0.492,0.6,0.2,9,"$507,500 ",*4,
2015,25,ATL,NL,147,583,-10,-1,0,25,8,21,2.2,19,40,4,0.516,0.514,1.2,3.5,15,"$3,000,000 ",*6,
2015,28,ATL,NL,141,555,-1,4,0,-16,3,-10,-1.1,18,8,0.6,0.493,0.494,2.3,-1.5,24,"$7,000,000 ",*8,
2015,25,ATL,NL,118,481,19,2,1,3,-6,18,1.9,16,34,3.4,0.517,0.512,3.1,-0.4,31,"$8,500,000 ",*3/D,
2015,38,ATL,NL,113,436,8,-3,-1,-8,7,2,0.2,14,17,1.6,0.502,0.502,2.4,-0.2,25,"$2,000,000 ",2/D,
2015,34,ATL,NL,83,228,-1,-1,-1,-5,-2,-9,-1.1,7,-2,-0.3,0.488,0.494,0.2,-0.8,3,"$4,000,000 ",Jul-91,
2015,29,ATL,NL,84,151,-6,0,1,2,1,-2,-0.2,5,3,0.3,0.498,0.499,0.1,0.3,1,,5/643D7,
2015,33,ATL,NL,62,197,4,-1,0,-5,-2,-5,-0.6,6,1,0,0.491,0.496,0.5,-0.8,6,"$1,500,000 ",735/94D,
2015,30,ATL,NL,58,198,4,-1,-1,-2,0,0,0,6,7,0.6,0.501,0.5,0.9,-0.2,9,,57,
2015,30,ATL,NL,56,162,-6,0,0,-1,-1,-8,-1,5,-3,-0.4,0.483,0.494,-0.3,-0.2,-2,,53/D,
2015,23,ATL,NL,48,160,-9,-1,0,3,3,-5,-0.6,5,0,-0.1,0.489,0.497,-0.4,0.6,-3,"$507,500 ",2,
2015,25,ATL,NL,47,133,-4,1,0,0,-1,-4,-0.5,4,0,-0.1,0.491,0.497,-0.1,-0.2,0,,7/98D,
