Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,31,MIL,NL,149,572,15,0,1,5,-7,13,1.3,19,32,3.1,0.51,0.509,2.6,-0.3,27,"$7,500,000 ",*3/D,
2015,25,MIL,NL,142,584,-25,4,1,-3,7,-16,-1.9,19,3,0,0.488,0.489,0.3,0.4,6,"$534,000 ",*6,
2015,31,MIL,NL,140,568,22,6,-2,-1,-6,19,2,18,38,3.8,0.515,0.513,3.8,-0.8,39,"$13,000,000 ",*9/D,AS
2015,27,MIL,NL,121,440,10,-3,-1,-6,-4,-4,-0.6,14,10,0.8,0.496,0.497,1.5,-1.1,16,"$519,500 ",7,
2015,25,MIL,NL,114,391,-10,1,-1,3,2,-5,-0.6,13,8,0.6,0.495,0.497,0.3,0.5,5,"$516,500 ",4,
2015,29,MIL,NL,103,415,-2,-1,-3,-2,5,-2,-0.3,13,11,1,0.498,0.498,1.2,0.3,13,"$3,000,000 ",2/3D,
2015,28,MIL,NL,100,351,16,-1,0,-3,-2,10,1,11,21,2.1,0.511,0.506,2.4,-0.6,24,"$6,237,500 ",789,
2015,30,MIL,NL,83,277,-7,0,0,-1,2,-6,-0.7,9,3,0.2,0.493,0.496,0.3,0,4,,54/97,
2015,27,MIL,NL,93,226,-3,-1,1,4,-1,-1,-0.1,7,6,0.6,0.499,0.499,0.1,0.2,2,,78/93D,
2015,24,MIL,NL,90,238,-9,0,0,1,2,-6,-0.7,8,2,0.1,0.493,0.496,0,0.2,1,,54/36,
2015,27,MIL,NL,86,169,4,0,0,-3,-1,0,0,5,6,0.5,0.5,0.5,0.8,-0.5,8,"$507,500 ",3/57D,
2015,37,MIL,NL,81,302,-4,-1,-2,-6,1,-11,-1.2,10,-1,-0.3,0.486,0.493,0.4,-0.6,5,,5/D,
2015,28,MIL,NL,79,256,-15,0,-1,6,4,-6,-0.7,8,3,0.2,0.492,0.496,-0.5,1.1,-3,"$825,000 ",3-Feb,
