Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,33,STL,NL,155,640,5,-5,-2,-7,7,-1,-0.3,21,20,1.8,0.499,0.499,2.5,0,26,"$15,000,000 ",*6/D,AS
2015,29,STL,NL,154,665,27,-1,0,-10,3,19,1.9,21,40,3.9,0.513,0.513,5,-0.9,50,"$3,750,000 ",*54/3,MVP-12
2015,25,STL,NL,154,610,13,6,5,24,-6,43,4.5,20,63,6.5,0.53,0.529,3.8,2,39,"$7,800,000 ",*98,MVP-15GG
2015,24,STL,NL,150,613,-7,1,1,5,4,3,0.2,20,23,2.2,0.502,0.502,1.6,0.9,18,"$520,000 ",*4,
2015,31,STL,NL,140,432,-6,-2,-1,-3,-6,-17,-2,14,-3,-0.6,0.486,0.488,-0.3,-1,0,"$2,000,000 ",35/7D49,
2015,32,STL,NL,136,530,-16,-1,-1,7,8,-2,-0.3,17,16,1.4,0.499,0.499,0.6,1.6,9,"$15,000,000 ",*2/D,ASGG
2015,28,STL,NL,117,225,-9,-2,1,-4,2,-13,-1.5,7,-6,-0.8,0.488,0.491,-0.3,-0.3,-2,"$1,650,000 ",8,
2015,23,STL,NL,103,350,14,0,0,7,-2,20,2,11,31,3.2,0.521,0.513,2.4,0.5,24,"$510,000 ",789,
2015,30,STL,NL,79,245,-12,1,-1,3,0,-9,-1,8,-1,-0.2,0.488,0.494,-0.6,0.3,-4,"$4,125,000 ",87/9,
2015,27,STL,NL,76,111,-13,1,1,0,2,-10,-1.1,4,-6,-0.7,0.486,0.494,-0.7,0.2,-6,"$522,000 ",645/3D7,
2015,35,STL,NL,73,277,7,-1,0,-4,-3,0,-0.1,9,8,0.8,0.499,0.5,1.2,-0.8,12,"$17,000,000 ",7/D,AS
2015,28,STL,NL,69,151,-11,0,0,-3,2,-12,-1.3,5,-7,-0.8,0.482,0.492,-0.5,-0.1,-4,"$775,000 ",5-Feb,
2015,24,STL,NL,63,256,10,-1,0,-5,-4,1,0.1,8,9,0.9,0.502,0.501,1.4,-1,14,,793/8,RoY-6
