Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,25,CHC,NL,160,701,37,0,1,10,-9,39,4.1,22,61,6.2,0.526,0.526,5.1,0,51,"$5,000,000 ",*3,ASMVP-4
2015,29,CHC,NL,156,690,10,0,1,-12,3,2,0.1,21,24,2.2,0.502,0.502,3.5,-1,36,"$9,500,000 ",*8,
2015,25,CHC,NL,151,578,-13,-2,1,-2,7,-10,-1.2,19,9,0.6,0.493,0.493,0.9,0.4,11,"$6,857,143 ",*64,
2015,23,CHC,NL,151,650,27,3,2,4,2,38,3.9,21,58,5.9,0.527,0.525,5.5,0.6,55,,*5/7893D,ASMVP-11RoY-1
2015,30,CHC,NL,148,503,7,2,0,-1,-5,4,0.3,16,20,1.9,0.503,0.502,2,-0.7,21,"$2,505,000 ",*794/35,
2015,21,CHC,NL,142,523,-7,-2,1,19,5,16,1.7,17,33,3.3,0.513,0.511,1.2,2.6,14,,46,
2015,31,CHC,NL,113,403,3,-1,-1,-2,6,5,0.5,13,18,1.8,0.505,0.504,2,0.4,21,"$12,000,000 ",*2/D,
2015,34,CHC,NL,103,231,-4,-1,0,-1,-3,-9,-1,8,-2,-0.3,0.49,0.494,-0.2,-0.4,-1,"$2,600,000 ",79/81,
2015,23,CHC,NL,101,404,-1,2,-1,-8,-4,-12,-1.4,13,1,-0.1,0.487,0.492,0.7,-1.3,9,"$2,666,667 ",9/D,
2015,30,CHC,NL,73,132,-8,1,0,-2,1,-8,-0.9,4,-3,-0.4,0.488,0.495,-0.2,-0.1,-1,"$900,000 ",45/6,
2015,38,CHC,NL,72,182,-15,0,1,5,3,-6,-0.7,6,0,-0.1,0.491,0.496,-0.6,0.9,-5,"$2,500,000 ",1-Feb,
2015,22,CHC,NL,69,273,9,1,0,-5,-1,4,0.3,9,12,1.2,0.506,0.502,1.7,-0.7,18,,72/D9,
2015,25,CHC,NL,47,80,-4,0,0,-3,-1,-7,-0.8,3,-4,-0.5,0.484,0.496,-0.2,-0.4,-1,"$508,500 ",Jul-89,
