Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,27,ARI,NL,159,695,53,4,-2,18,-9,64,6.7,22,86,8.8,0.543,0.542,6.8,0.9,68,"$3,100,000 ",*3/D,ASMVP-2GGSS
2015,27,ARI,NL,157,673,26,9,-1,14,3,51,5.3,21,73,7.4,0.535,0.534,5.9,1.8,59,"$519,500 ",*8,ASMVP-14GG
2015,27,ARI,NL,149,517,24,2,1,-2,-5,20,2.1,17,37,3.7,0.515,0.514,3.9,-0.8,39,"$1,024,000 ",*7/98,
2015,23,ARI,NL,147,552,-30,2,1,1,5,-22,-2.5,18,-4,-0.7,0.484,0.485,-0.9,0.6,-5,"$512,500 ",*46,
2015,25,ARI,NL,134,459,-15,-1,1,20,6,11,1.1,15,26,2.5,0.509,0.507,0.3,2.8,6,"$508,500 ",*6,
2015,24,ARI,NL,132,561,3,4,1,29,-5,33,3.5,18,51,5.3,0.527,0.522,2,2.6,22,"$513,000 ",*978,
2015,24,ARI,NL,107,390,-3,0,0,7,1,6,0.5,13,18,1.7,0.506,0.504,1,0.9,11,"$508,500 ",3-May,
2015,24,ARI,NL,118,426,-6,1,-2,-14,-2,-24,-2.7,14,-10,-1.3,0.478,0.484,0.2,-1.8,4,"$5,500,000 ",95/73D,
2015,33,ARI,NL,116,353,-11,0,0,-3,2,-12,-1.4,11,0,-0.3,0.489,0.492,0.1,-0.2,3,"$12,000,000 ",45/D,
2015,31,ARI,NL,72,157,-8,0,-1,4,2,-3,-0.3,5,2,0.2,0.496,0.498,-0.3,0.6,-2,"$3,275,000 ",654/7,
2015,30,ARI,NL,70,194,3,0,-1,-2,2,2,0.2,6,9,0.8,0.504,0.502,1,0,11,,2/3D,
2015,29,ARI,NL,46,184,4,-1,-1,1,-2,2,0.2,6,8,0.8,0.504,0.501,0.6,-0.1,7,,3-Sep,
