Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,31,TBR,AL,110,319,-28,-1,0,-6,6,-30,-3.1,11,-18,-2,0.471,0.48,-1.4,0,-12,"$1,200,000 ",2/3D,
2015,31,TBR,AL,104,388,-8,-4,0,-2,-5,-19,-2,14,-5,-0.6,0.48,0.487,-0.4,-0.7,-3,"$8,666,666 ",3/D,
2015,28,TBR,AL,153,615,17,2,0,6,1,26,2.9,22,48,5,0.518,0.517,4.4,0.9,42,"$1,100,000 ",*43/5D,
2015,29,TBR,AL,143,551,-2,0,-1,-7,7,-3,-0.2,20,17,1.7,0.498,0.498,2.5,0,24,"$7,500,000 ",*6/D,
2015,29,TBR,AL,160,670,6,-1,0,-1,2,6,0.8,24,30,3.2,0.504,0.504,3.3,0.2,31,"$11,000,000 ",*5D,
2015,35,TBR,AL,82,257,-2,0,0,4,-4,-3,-0.3,9,6,0.6,0.496,0.498,0.2,0,2,,7D/9,
2015,25,TBR,AL,151,535,-1,3,2,42,3,49,5.4,19,68,7.3,0.535,0.533,2.7,5,26,"$513,800 ",*8/9,MVP-17GG
2015,26,TBR,AL,110,426,-1,2,1,-4,-4,-6,-0.5,15,10,1,0.494,0.496,1.4,-0.8,14,"$508,700 ",9/D,
2015,31,TBR,AL,70,216,10,-2,-1,-1,-5,1,0.2,8,9,0.9,0.502,0.501,1,-0.6,10,"$3,175,000 ",D/79,
2015,29,TBR,AL,128,385,8,0,0,1,-4,4,0.5,14,18,1.9,0.503,0.503,1.8,-0.3,17,"$515,800 ",*798/D,
2015,29,TBR,AL,88,276,1,-1,-2,2,-5,-5,-0.5,10,4,0.4,0.493,0.496,0.2,-0.3,2,,D7/9,
2015,32,TBR,AL,58,192,0,-1,0,-2,-3,-4,-0.4,7,2,0.2,0.492,0.497,0.4,-0.5,4,,79D,
2015,28,TBR,AL,51,158,-10,1,-1,-2,-1,-12,-1.3,6,-7,-0.8,0.473,0.492,-0.6,-0.3,-5,,3/5467D1,
