Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,33,LAD,NL,156,643,22,-2,-2,10,-8,19,1.9,21,40,4,0.513,0.513,2.8,0.1,30,"$21,857,000 ",*3/D,ASMVP-19
2015,23,LAD,NL,151,585,9,-4,1,-3,3,6,0.5,19,25,2.3,0.504,0.504,2.7,-0.1,28,"$510,000 ",*8,ASRoY-6
2015,36,LAD,NL,144,563,-15,-1,0,-7,7,-17,-1.9,18,2,-0.1,0.488,0.489,0.6,-0.1,9,"$11,000,000 ",*6,
2015,30,LAD,NL,126,439,20,-1,-1,5,2,24,2.5,14,39,3.9,0.521,0.516,3.4,0.6,34,"$2,500,000 ",53/46,
2015,31,LAD,NL,117,495,5,2,-1,-12,3,-3,-0.5,16,13,1.1,0.497,0.498,2.4,-1,25,"$9,500,000 ",*4,
2015,26,LAD,NL,115,426,5,-4,-3,-4,6,1,0,14,15,1.4,0.501,0.501,1.8,0.2,19,"$693,000 ",3-Feb,AS
2015,33,LAD,NL,142,445,19,-3,0,2,-5,13,1.3,14,27,2.7,0.51,0.509,2.5,-0.4,25,"$18,000,000 ",*97/8D,
2015,28,LAD,NL,106,230,-2,-1,-1,-4,-1,-8,-1,7,-1,-0.2,0.491,0.494,0.2,-0.6,3,"$6,500,000 ",75/D,
2015,28,LAD,NL,96,253,-3,-1,0,13,-4,5,0.5,8,13,1.3,0.506,0.503,-0.2,0.9,0,"$522,500 ",793/8D,
2015,24,LAD,NL,79,311,2,-2,2,2,-3,1,0.1,10,11,1.1,0.502,0.501,0.8,-0.1,9,"$6,214,000 ",9,
2015,23,LAD,NL,76,218,10,-2,0,-2,1,7,0.7,7,14,1.4,0.51,0.504,1.6,-0.2,16,,4876/95,
2015,33,LAD,NL,69,193,-3,1,0,-4,-2,-7,-0.8,6,0,-0.1,0.49,0.496,0.3,-0.7,4,"$21,357,000 ",7/D,
2015,34,LAD,NL,63,217,5,-1,1,0,4,8,0.9,7,16,1.5,0.515,0.506,1.5,0.4,16,"$4,250,000 ",2,
