Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,28,SFG,NL,150,623,24,0,-2,13,4,40,4.1,20,60,6.1,0.529,0.526,4.7,1.8,47,"$16,500,000 ",23/D,ASMVP-9SS
2015,24,SFG,NL,149,612,11,6,0,9,3,28,2.9,20,48,4.9,0.521,0.519,3.9,1.2,39,"$509,000 ",*5/463,RoY-2
2015,28,SFG,NL,143,561,8,1,0,20,7,36,3.8,18,54,5.6,0.528,0.524,3.4,2.9,34,"$3,175,000 ",*6,ASGGSS
2015,27,SFG,NL,137,556,20,0,2,6,-7,21,2.1,18,39,3.9,0.516,0.514,3.2,-0.2,33,"$3,600,000 ",*37,
2015,33,SFG,NL,133,551,-17,1,1,-20,3,-33,-3.7,18,-15,-1.9,0.473,0.478,0.2,-1.9,5,"$10,250,000 ",*8/D,
2015,31,SFG,NL,115,372,6,1,1,-6,-1,0,-0.1,12,12,1.1,0.5,0.5,1.7,-0.9,18,"$3,600,000 ",879,
2015,24,SFG,NL,100,432,15,-1,2,2,2,20,2,14,33,3.3,0.521,0.513,3.1,0.4,31,"$522,500 ",4,AS
2015,31,SFG,NL,100,274,-8,-1,0,5,-3,-7,-0.8,9,2,0.1,0.493,0.496,-0.5,0.2,-3,"$1,000,000 ",97/8,
2015,33,SFG,NL,93,392,3,0,0,-1,-3,-1,-0.2,13,12,1,0.499,0.499,1.1,-0.5,13,"$4,000,000 ",7/9D,
2015,25,SFG,NL,54,193,4,-1,2,-2,1,4,0.4,6,10,1,0.508,0.503,1.2,-0.1,12,,6-Apr,
2015,32,SFG,NL,52,223,6,0,-1,0,-2,3,0.3,7,10,1,0.507,0.502,1,-0.3,10,"$18,500,000 ",9/D,
2015,25,SFG,NL,52,148,-2,-1,0,-2,2,-3,-0.3,5,2,0.1,0.494,0.498,0.3,0,4,,2,
2015,32,SFG,NL,49,138,-7,-1,-3,1,1,-9,-1,4,-5,-0.6,0.479,0.494,-0.7,0.1,-6,"$4,800,000 ",5/3D,
