Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,27,CLE,AL,95,389,-13,-1,-1,2,6,-6,-0.6,14,8,0.8,0.493,0.496,0.6,0.9,5,"$1,000,000 ",2/D,
2015,29,CLE,AL,154,666,1,1,-1,-4,-10,-12,-1.2,23,11,1.1,0.491,0.492,1.6,-1.4,15,"$6,000,000 ",*3D,
2015,28,CLE,AL,141,641,15,3,2,1,2,22,2.5,22,44,4.6,0.517,0.515,4.5,0.4,43,"$4,166,666 ",*4D,ASMVP-16
2015,21,CLE,AL,99,438,11,2,0,10,5,28,3.1,15,44,4.6,0.531,0.519,3.5,1.7,34,,6/D,RoY-2
2015,23,CLE,AL,81,288,-11,-2,-1,1,1,-11,-1.1,10,-1,-0.1,0.485,0.493,-0.2,0.3,-2,,5,
2015,28,CLE,AL,137,596,19,1,-1,-2,-5,12,1.4,21,33,3.4,0.509,0.508,3.7,-0.7,35,"$5,875,000 ",*78D,MVP-28
2015,32,ATL,NL,46,156,-6,-1,0,1,-1,-7,-0.8,5,-2,-0.3,0.484,0.496,-0.4,0,-3,"$13,500,000 ",78/9,
2015,31,CLE,AL,94,375,-10,0,-1,-4,-4,-19,-2,13,-6,-0.7,0.478,0.487,-0.2,-0.8,-2,"$6,500,000 ",93/D,
2015,34,CLE,AL,82,201,11,1,0,-5,-5,3,0.3,7,10,1,0.504,0.502,1.6,-1,15,"$2,500,000 ",D79/1,
2015,26,CLE,AL,106,362,-12,2,3,18,-1,8,1,13,21,2.3,0.509,0.506,0.3,1.9,3,"$2,250,000 ",95/D,
2015,22,CLE,AL,97,355,-11,2,2,5,3,1,0.2,13,14,1.4,0.501,0.501,0.9,1,9,"$511,300 ",645/7D,
2015,34,CLE,AL,98,317,-15,-1,-3,-4,0,-23,-2.4,11,-11,-1.3,0.475,0.485,-0.9,-0.3,-7,"$3,500,000 ",7564/8D9,
2015,33,CLE,AL,84,229,2,-1,0,-2,-5,-6,-0.6,8,2,0.2,0.493,0.496,0.5,-0.7,5,,D79/1,
