Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,24,SEA,AL,112,386,-25,0,0,-1,7,-20,-2,14,-6,-0.7,0.481,0.487,-0.6,0.7,-5,"$523,500 ",*2,
2015,27,SEA,AL,146,511,-5,-1,2,-7,-7,-18,-1.9,18,0,-0.1,0.486,0.488,0.7,-1.5,7,"$2,725,000 ",*3/9D7,
2015,32,SEA,AL,156,674,20,-3,-3,-9,3,9,1.1,24,32,3.4,0.506,0.506,4.4,-0.5,41,"$24,000,000 ",*4/D,
2015,25,SEA,AL,144,497,4,-1,1,-19,4,-12,-1.1,18,6,0.6,0.491,0.492,2.6,-1.5,25,"$527,600 ",6874D/95,
2015,27,SEA,AL,161,686,15,-1,-1,0,3,16,1.9,25,41,4.3,0.511,0.511,4.3,0.4,41,"$4,500,000 ",*5/6,
2015,32,SEA,AL,136,452,8,0,0,1,-7,2,0.3,16,18,1.9,0.501,0.501,1.8,-0.6,17,"$6,000,000 ",*79D,
2015,28,SEA,AL,107,448,-3,-1,0,-2,2,-3,-0.2,16,13,1.4,0.497,0.498,1.6,0.1,15,"$7,700,000 ",8,
2015,34,SEA,AL,152,655,45,-1,1,-8,-10,26,2.9,23,49,5.2,0.518,0.517,6,-1.8,57,"$14,250,000 ",9D,ASMVP-6SS
2015,29,SEA,AL,96,361,5,0,0,-4,-6,-5,-0.4,13,8,0.8,0.495,0.497,1.2,-1,12,"$6,900,000 ",9D37,
2015,21,SEA,AL,57,247,6,0,1,2,3,13,1.4,9,22,2.3,0.524,0.508,2.1,0.6,20,,Jun-48,
2015,27,SEA,AL,85,207,-6,-1,1,-9,-2,-17,-1.8,7,-10,-1.1,0.478,0.488,-0.1,-1.1,-1,"$2,600,000 ",78/D94,
2015,32,SEA,AL,59,189,15,1,0,3,-2,16,1.8,7,23,2.4,0.529,0.51,2.1,0.1,20,,7/D9,
2015,27,SEA,AL,50,142,-12,-1,0,3,3,-7,-0.8,5,-2,-0.3,0.484,0.495,-0.6,0.6,-5,"$509,300 ",2/1/16,
