Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,27,MIA,NL,145,653,9,2,2,13,4,29,3,20,48,4.9,0.521,0.519,3.5,1.8,36,"$2,500,000 ",*4,ASMVP-16GGSS
2015,26,MIA,NL,130,499,-9,2,-2,9,7,6,0.5,16,22,2.1,0.505,0.504,1.1,1.6,13,"$1,925,000 ",*6,
2015,27,MIA,NL,129,446,8,-3,-1,-7,-6,-9,-1.1,14,5,0.3,0.492,0.494,1,-1.5,12,,*3/D,RoY-5
2015,31,MIA,NL,129,551,0,1,1,10,3,14,1.4,18,32,3.1,0.512,0.51,2,1.3,22,"$11,000,000 ",*54,
2015,24,MIA,NL,126,467,-7,0,1,6,8,8,0.8,15,23,2.2,0.507,0.505,1.6,1.4,17,,*2,
2015,23,MIA,NL,126,525,10,2,1,8,-3,18,1.8,17,35,3.5,0.515,0.512,2.6,0.4,27,"$570,000 ",*78,
2015,24,MIA,NL,123,494,-9,0,0,-3,2,-10,-1.2,16,6,0.4,0.491,0.493,0.7,-0.2,9,"$545,000 ",*89,
2015,41,MIA,NL,153,438,-24,0,0,6,-4,-22,-2.6,14,-8,-1.2,0.484,0.485,-1.9,0.1,-14,"$2,000,000 ",*97/8D1,
2015,25,MIA,NL,90,289,6,-1,0,-10,-1,-7,-0.8,9,2,0.1,0.492,0.495,1.2,-1.3,12,,75/34D,
2015,25,MIA,NL,74,318,20,0,-1,9,-3,26,2.7,10,36,3.7,0.538,0.517,2.7,0.6,27,"$6,500,000 ",9/D,AS
2015,31,MIA,NL,67,157,1,1,0,-2,0,-1,-0.1,5,4,0.4,0.499,0.499,0.6,-0.3,6,,897,
2015,26,MIA,NL,60,157,1,1,0,2,2,6,0.6,5,11,1.1,0.511,0.504,0.9,0.4,9,,Jun-45,
2015,32,MIA,NL,60,120,-8,0,1,0,-1,-9,-1,4,-5,-0.6,0.484,0.494,-0.6,-0.1,-5,,35/D,
