Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,29,MIA,NL,11,14,0.44,4.08,32,31,0,0,0,0,187.1,180,96,85,22,77,3,137,6,0,2,800,94,4.53,1.372,8.6,1.1,3.7,6.6,1.78,
2015,34,MIA,NL,7,7,0.5,3.42,21,21,0,0,0,0,129,116,50,49,21,25,1,88,7,0,2,524,114,4.63,1.093,8.1,1.5,1.7,6.1,3.52,
2015,28,MIA,NL,4,8,0.333,4.5,23,19,1,0,0,0,112,119,59,56,11,33,0,77,4,0,2,482,85,4.03,1.357,9.6,0.9,2.7,6.2,2.33,
2015,27,MIA,NL,4,7,0.364,4.48,16,16,0,0,0,0,88.1,85,46,44,8,25,0,79,1,0,9,372,86,3.41,1.245,8.7,0.8,2.5,8,3.16,
2015,25,MIA,NL,4,7,0.364,5.3,38,12,7,0,0,0,93.1,107,55,55,9,32,1,67,3,0,2,408,73,4.08,1.489,10.3,0.9,3.1,6.5,2.09,
2015,23,MIA,NL,5,4,0.556,4.01,12,12,0,0,0,0,74,72,33,33,8,20,2,23,3,0,2,301,96,4.85,1.243,8.8,1,2.4,2.8,1.15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,25,MIA,NL,4,1,0.8,3.76,15,11,1,0,0,0,67,65,28,28,7,21,1,59,3,0,0,281,103,3.81,1.284,8.7,0.9,2.8,7.9,2.81,
2015,22,MIA,NL,6,1,0.857,2.92,11,11,0,0,0,0,64.2,61,21,21,4,14,0,79,2,0,2,265,132,2.24,1.16,8.5,0.6,1.9,11,5.64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,25,MIA,NL,2,5,0.286,4.52,14,13,0,0,0,0,69.2,63,35,35,10,33,1,47,1,0,7,296,85,5.11,1.378,8.1,1.3,4.3,6.1,1.42,
