Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,34,NYM,NL,157,682,23,0,1,11,-6,29,3,21,51,5.1,0.52,0.52,3.9,0.5,40,"$16,000,000 ",*9/8D,MVP-18
2015,26,NYM,NL,143,465,-12,0,1,2,3,-7,-0.9,15,8,0.6,0.495,0.495,0.4,0.4,6,"$528,696 ",*8/9,
2015,29,NYM,NL,135,554,19,-2,-2,4,-7,12,1.2,18,30,3,0.51,0.508,2.5,-0.4,26,"$4,200,000 ",*3,
2015,23,NYM,NL,137,510,-1,0,0,-11,6,-7,-0.8,17,10,0.8,0.495,0.496,2,-0.6,21,"$513,543 ",64,
2015,30,NYM,NL,130,538,4,-2,0,-5,2,-2,-0.3,17,16,1.4,0.499,0.499,2,-0.4,21,"$8,000,000 ",453/D,
2015,36,NYM,NL,117,408,2,2,-1,-4,-4,-6,-0.8,13,7,0.5,0.494,0.496,1,-1,11,"$8,500,000 ",73/9D,
2015,25,NYM,NL,116,407,2,-1,0,-18,5,-12,-1.3,13,2,-0.1,0.489,0.492,1.9,-1.5,19,"$1,880,000 ",654,
2015,24,NYM,NL,73,258,-9,-1,0,6,4,1,0.1,8,10,0.9,0.502,0.501,0.2,1.1,3,,2,
2015,28,NYM,NL,71,206,-7,0,-1,-2,1,-10,-1.1,7,-3,-0.5,0.485,0.493,-0.2,-0.2,-1,"$511,065 ",May-37,
2015,26,NYM,NL,67,268,9,0,-1,-4,4,8,0.8,9,17,1.7,0.513,0.505,2.1,0,21,"$525,424 ",2,
2015,29,NYM,NL,57,249,15,1,0,0,-1,15,1.5,8,23,2.3,0.528,0.51,2.3,-0.1,23,,87/D,MVP-13GG
2015,27,NYM,NL,64,117,0,1,0,4,-1,3,0.3,4,7,0.7,0.506,0.502,0.3,0.3,3,"$525,415 ",78/9,
2015,31,NYM,NL,59,119,-8,0,0,1,-1,-7,-0.8,4,-4,-0.5,0.486,0.495,-0.6,-0.1,-5,"$1,450,000 ",79/D,
