Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,29,WSN,NL,156,641,-13,4,1,1,8,1,-0.1,21,22,2,0.501,0.5,1.9,0.9,20,"$11,000,000 ",*6,
2015,22,WSN,NL,153,654,70,3,-1,10,-6,77,7.9,21,97,9.9,0.553,0.55,8.9,0.4,87,"$2,500,000 ",*98/D,ASMVP-1SS
2015,32,WSN,NL,139,591,12,-1,-1,-11,2,2,0.1,19,21,1.9,0.501,0.501,3.1,-1,32,"$5,000,000 ",*5/D,
2015,24,WSN,NL,138,511,-19,-1,1,5,0,-14,-1.6,17,3,0,0.489,0.491,-0.5,0.5,-2,"$508,700 ",*87/9,
2015,27,WSN,NL,128,504,-21,-1,-1,9,8,-6,-0.8,16,10,0.8,0.495,0.496,-0.2,1.8,1,"$3,550,000 ",*2/D,
2015,28,WSN,NL,118,412,-5,2,2,5,2,6,0.5,13,19,1.9,0.505,0.504,1.3,0.7,14,"$1,800,000 ",45/637,
2015,30,WSN,NL,126,352,5,-1,0,-8,-4,-8,-0.9,11,3,0.2,0.493,0.495,1,-1.4,11,"$525,000 ",379/D1,
2015,28,WSN,NL,97,200,-9,-1,0,-6,-3,-19,-2.1,6,-12,-1.5,0.479,0.487,-0.8,-1,-6,"$518,200 ",37/19,
2015,30,WSN,NL,95,390,3,0,-1,-1,-5,-4,-0.5,13,9,0.7,0.495,0.497,0.8,-0.7,10,"$14,000,000 ",7-Mar,
2015,36,WSN,NL,88,378,-8,-1,0,-11,-4,-24,-2.7,12,-12,-1.6,0.47,0.484,-0.4,-1.6,-1,"$21,000,000 ",79/D,
2015,25,WSN,NL,80,355,-4,-2,-1,-1,2,-6,-0.7,11,5,0.3,0.492,0.496,0.4,0.1,6,"$2,500,000 ",45,
2015,35,WSN,NL,67,141,-5,-1,0,-3,1,-8,-0.9,5,-4,-0.5,0.487,0.495,-0.1,-0.3,0,"$507,500 ",4/3D,
2015,31,WSN,NL,61,275,7,2,0,-10,1,0,0,8,9,0.8,0.501,0.5,1.8,-1,19,"$9,000,000 ",8,
