Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,29,BAL,AL,100,355,-6,-1,0,9,6,8,1,13,21,2.2,0.509,0.506,1.3,1.6,12,"$515,000 ",2/D3,
2015,29,BAL,AL,160,670,37,-4,1,1,-10,26,2.9,24,50,5.2,0.517,0.517,5.2,-0.9,49,"$12,000,000 ",*39D,MVP-14
2015,23,BAL,AL,86,321,5,-1,-1,-3,2,2,0.3,12,14,1.4,0.502,0.501,1.7,0,16,"$515,000 ",4,
2015,32,BAL,AL,114,437,-24,0,-1,4,6,-15,-1.5,16,1,0,0.486,0.49,-0.4,1.1,-3,"$11,500,000 ",*6,
2015,22,BAL,AL,162,713,27,1,-2,13,3,42,4.6,25,67,7.1,0.528,0.528,5.7,1.9,54,"$548,000 ",*5/6,ASMVP-4GG
2015,32,BAL,AL,92,325,-4,1,-1,-7,-3,-15,-1.5,12,-3,-0.4,0.483,0.49,0.4,-1,4,"$3,700,000 ",734/9D,
2015,29,BAL,AL,137,581,4,1,-1,4,3,10,1.2,21,31,3.2,0.508,0.507,2.8,0.8,27,"$13,333,333 ",*8/D,AS
2015,28,BAL,AL,55,238,-11,0,2,-7,-2,-18,-1.9,8,-10,-1.1,0.464,0.488,-0.4,-0.9,-3,,98/7,
2015,26,BAL,AL,104,384,-1,0,2,-5,-7,-12,-1.1,14,2,0.2,0.488,0.492,0.7,-1.3,7,"$515,000 ",D/5497,
2015,28,BAL,AL,91,301,-12,1,0,-4,1,-14,-1.5,11,-3,-0.4,0.483,0.491,0,-0.2,1,"$1,075,000 ",463/597,
2015,29,BAL,AL,75,282,0,-2,0,-3,2,-3,-0.2,10,7,0.8,0.496,0.498,1.1,0,10,"$8,300,000 ",2D/3,
2015,27,BAL,AL,69,236,-4,-1,1,7,-3,0,0.1,8,9,0.9,0.501,0.5,0.2,0.5,2,"$2,100,000 ",79/D,
2015,29,BAL,AL,84,144,-9,-2,0,7,-1,-4,-0.4,5,1,0.1,0.494,0.497,-0.7,0.7,-6,"$525,500 ",78/9D,
