Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,25,PHI,NL,151,603,-17,3,1,-7,8,-13,-1.5,20,7,0.4,0.491,0.491,1.2,0,14,"$513,500 ",*6/4,
2015,23,PHI,NL,147,537,5,2,0,10,3,21,2.1,17,38,3.8,0.515,0.514,2.7,1.3,28,,*8,
2015,35,PHI,NL,129,503,-7,-2,-1,-9,-7,-27,-3,16,-10,-1.4,0.477,0.482,-0.5,-1.8,-1,"$25,000,000 ",*3/D,
2015,25,PHI,NL,129,456,-9,-3,1,-10,-2,-23,-2.6,15,-8,-1.1,0.481,0.485,-0.1,-1.3,2,"$517,500 ",75,
2015,25,PHI,NL,127,452,-1,1,1,-7,3,-4,-0.5,15,11,0.9,0.497,0.498,1.7,-0.5,18,"$510,000 ",465,
2015,31,PHI,NL,118,343,-1,-2,-1,-11,-4,-19,-2.2,11,-8,-1.1,0.482,0.487,0.1,-1.7,3,"$950,000 ",97/D1,
2015,28,PHI,NL,106,297,-2,-1,-1,-5,-4,-14,-1.6,10,-4,-0.6,0.486,0.491,-0.1,-1.1,1,"$515,000 ",37,
2015,31,PHI,NL,106,261,11,1,-1,-6,2,7,0.6,8,15,1.5,0.507,0.504,2.1,-0.5,21,"$850,000 ",546/3,
2015,27,PHI,NL,96,388,1,4,2,3,-2,8,0.8,13,21,2,0.509,0.506,1.7,0.1,18,"$4,100,000 ",789,
2015,36,PHI,NL,86,320,-14,-1,-1,-6,5,-16,-1.8,10,-6,-0.8,0.48,0.489,-0.2,-0.1,0,"$8,500,000 ",2,
2015,26,PHI,NL,81,299,-7,-1,-1,5,5,1,0.1,10,11,1,0.502,0.501,0.5,1,6,"$508,000 ",2,
2015,22,PHI,NL,80,335,14,0,-1,-8,1,7,0.7,11,18,1.7,0.509,0.505,2.6,-0.8,26,,3-May,
2015,36,PHI,NL,73,282,-10,2,0,-6,1,-12,-1.4,9,-3,-0.5,0.482,0.492,0.2,-0.6,3,,4/3D,
