Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,37,PHI,NL,6,15,0.286,4.86,29,29,0,0,0,0,172.1,189,100,93,26,51,3,108,6,0,4,748,82,4.83,1.393,9.9,1.4,2.7,5.6,2.12,
2015,31,PHI,NL,6,7,0.462,3.64,20,20,0,1,1,0,128.2,113,53,52,12,39,3,137,6,2,7,537,109,3.27,1.181,7.9,0.8,2.7,9.6,3.51,
2015,33,PHI,NL,4,12,0.25,5.8,33,21,3,0,0,1,121,161,83,78,22,34,3,74,5,0,4,553,68,5.24,1.612,12,1.6,2.5,5.5,2.18,
2015,25,PHI,NL,5,7,0.417,4.48,15,15,0,0,0,0,84.1,88,45,42,14,17,0,49,4,1,2,352,89,4.88,1.245,9.4,1.5,1.8,5.2,2.88,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,22,PHI,NL,6,2,0.75,3.59,13,13,0,0,0,0,77.2,74,31,31,11,19,1,68,2,0,0,318,111,4.04,1.197,8.6,1.3,2.2,7.9,3.58,
2015,26,PHI,NL,2,9,0.182,6.99,15,15,0,0,0,0,74.2,109,60,58,12,29,1,44,3,0,2,351,57,5.33,1.848,13.1,1.4,3.5,5.3,1.52,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,27,PHI,NL,1,6,0.143,6.08,13,13,0,0,0,0,71,94,49,48,16,20,5,35,6,0,3,328,65,6.18,1.606,11.9,2,2.5,4.4,1.75,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,24,PHI,NL,3,3,0.5,2.65,8,8,0,0,0,0,51,40,16,15,5,13,0,49,0,0,1,203,150,3.25,1.039,7.1,0.9,2.3,8.6,3.77,
