Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,28,PIT,NL,157,685,35,-3,0,-8,3,28,2.8,21,49,4.9,0.519,0.518,5.8,-0.6,57,"$10,000,000 ",*8/D,ASMVP-5SS
2015,26,PIT,NL,153,633,12,0,1,24,-5,32,3.4,21,52,5.4,0.523,0.522,2.7,2,28,"$1,333,333 ",*78,GG
2015,23,PIT,NL,153,652,-4,3,1,12,-6,6,0.5,21,27,2.6,0.504,0.504,1.3,0.6,15,"$525,000 ",*9/78,
2015,28,PIT,NL,150,491,6,0,2,-14,-6,-12,-1.4,16,4,0.1,0.491,0.492,1.6,-2.3,18,"$5,750,000 ",*3/D,
2015,29,PIT,NL,151,603,3,0,1,-2,4,6,0.5,20,26,2.4,0.504,0.504,2.6,0.1,28,"$8,000,000 ",*4,
2015,28,PIT,NL,126,467,15,2,-1,4,5,25,2.5,15,40,4,0.521,0.516,3.6,0.9,36,"$2,500,000 ",56,RoY-3
2015,29,PIT,NL,130,510,11,0,0,-3,8,15,1.5,17,32,3.2,0.513,0.51,3.5,0.5,35,"$987,500 ",*2/D,
2015,28,PIT,NL,116,430,-16,0,2,0,6,-9,-1,14,5,0.3,0.492,0.494,0.3,0.6,5,"$538,000 ",*6,
2015,30,PIT,NL,139,240,-6,-1,0,4,-4,-7,-0.8,8,1,-0.1,0.494,0.495,-0.5,-0.1,-3,"$1,900,000 ",379/546,
2015,27,PIT,NL,114,449,0,1,1,1,1,4,0.3,15,19,1.8,0.504,0.503,1.6,0.2,18,"$3,050,000 ",5497,
2015,33,PIT,NL,58,172,-5,-1,0,1,3,-1,-0.2,6,4,0.4,0.498,0.499,0.3,0.4,3,"$1,225,000 ",2,
2015,37,PIT,NL,56,214,-2,-1,-2,-2,1,-7,-0.9,7,0,-0.2,0.486,0.495,0,-0.2,2,"$14,000,000 ",3-May,
2015,33,PIT,NL,45,82,3,-1,-1,-1,-1,0,0,3,3,0.2,0.5,0.5,0.3,-0.2,4,,3,
