Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,31,TEX,AL,78,273,2,-1,0,3,5,8,0.9,10,17,1.8,0.51,0.505,1.5,0.9,14,"$518,290 ",2,
2015,29,TEX,AL,132,515,9,-2,1,2,-7,3,0.4,18,21,2.2,0.502,0.502,2,-0.5,19,"$2,950,000 ",*3/D,
2015,21,TEX,AL,120,470,4,-1,3,-7,3,2,0.3,17,18,1.9,0.501,0.501,2.7,-0.4,25,"$513,850 ",*4,
2015,26,TEX,AL,160,661,-13,3,0,-1,8,-3,-0.2,24,21,2.1,0.498,0.498,2.3,0.9,22,"$15,000,000 ",*6,
2015,36,TEX,AL,143,619,10,4,-2,18,3,33,3.7,22,55,5.8,0.525,0.522,3.9,2.3,37,"$16,000,000 ",*5/D,MVP-7
2015,34,TEX,AL,50,182,-1,0,1,0,-2,-2,-0.2,7,4,0.4,0.495,0.498,0.4,-0.2,4,"$22,708,749 ",79/D,
2015,22,TEX,AL,121,492,-4,4,2,-9,0,-7,-0.6,18,11,1.1,0.494,0.495,2.1,-0.9,20,,*87/D4,RoY-7
2015,32,TEX,AL,149,653,22,4,1,-11,-6,11,1.3,23,34,3.5,0.508,0.507,4.7,-1.7,45,"$14,000,000 ",*9/D,
2015,31,TEX,AL,158,693,20,-3,-2,-5,-15,-6,-0.4,24,19,1.9,0.496,0.496,2.5,-2.1,24,"$24,000,000 ",*D3,ASMVP-13
2015,27,TEX,AL,95,310,-18,0,1,15,2,0,0,11,11,1.1,0.499,0.5,-0.5,1.9,-4,"$4,750,000 ",8/D,
2015,32,TEX,AL,53,125,-4,-1,-1,1,0,-5,-0.6,4,-1,-0.1,0.489,0.496,-0.2,0.1,-2,"$900,000 ",345/1D7,
2015,21,TEX,AL,36,123,-3,1,0,2,-1,0,0,4,4,0.4,0.499,0.5,0.2,0.2,2,,75/D8,
2015,31,TEX,AL,33,121,-9,0,0,-2,2,-9,-0.9,4,-5,-0.5,0.47,0.494,-0.3,0,-3,"$975,000 ",2/D,
