Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,23,BOS,AL,84,309,-5,2,-1,-9,5,-7,-0.7,11,4,0.4,0.491,0.495,1.4,-0.4,13,,2,
2015,33,BOS,AL,98,378,-3,0,-1,2,-5,-8,-0.7,14,6,0.6,0.492,0.495,0.4,-0.3,4,"$16,000,000 ",3/D,
2015,31,BOS,AL,93,425,6,-1,1,-3,2,5,0.6,14,19,2,0.506,0.503,2.3,0,22,"$12,500,000 ",4/D,
2015,22,BOS,AL,156,654,7,5,0,0,8,21,2.3,23,44,4.6,0.514,0.513,4.6,0.9,44,"$543,000 ",*6,SS
2015,28,BOS,AL,126,505,-15,-1,-1,-11,2,-26,-2.6,18,-8,-0.9,0.478,0.483,0.3,-0.9,3,"$17,600,000 ",*5,
2015,31,BOS,AL,105,430,-3,-1,1,-19,-5,-27,-2.8,15,-12,-1.3,0.473,0.482,0.8,-2.5,7,"$19,750,000 ",7D/5,
2015,22,BOS,AL,145,654,18,2,2,10,2,34,3.8,22,56,6,0.525,0.523,4.9,1.4,46,"$514,500 ",*89/D,MVP-19
2015,27,BOS,AL,80,289,-13,-2,1,15,-3,-2,-0.2,10,8,0.8,0.497,0.499,-0.8,1.4,-7,"$11,271,000 ",97/8D,
2015,39,BOS,AL,146,614,27,-3,-2,-1,-13,8,1,22,30,3.2,0.506,0.505,3.3,-1.4,31,"$16,000,000 ",*D/3,MVP-28
2015,25,BOS,AL,74,255,5,1,0,8,-1,12,1.4,9,21,2.2,0.517,0.508,1.4,0.8,13,"$528,000 ",987,
2015,25,BOS,AL,65,248,4,0,1,-1,-3,2,0.2,9,11,1.1,0.503,0.501,1.2,-0.4,12,,Mar-57,
2015,34,BOS,AL,54,201,-3,0,0,-1,3,-1,-0.1,7,6,0.6,0.498,0.499,0.8,0.3,7,"$3,500,000 ",2,
2015,31,BOS,AL,60,178,7,2,0,0,-2,6,0.7,6,12,1.3,0.511,0.504,1.3,-0.2,12,"$5,000,000 ",79/8D,
