Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,24,COL,NL,157,665,17,-1,-2,18,3,35,3.7,21,57,5.8,0.525,0.524,3.8,2.2,39,"$512,500 ",*5,ASMVP-8GGSS
2015,28,COL,NL,157,682,3,5,1,-7,2,4,0.3,21,26,2.4,0.503,0.503,3.2,-0.6,33,"$517,500 ",*87/9,
2015,29,COL,NL,153,608,10,2,1,5,-5,12,1.1,20,32,3.1,0.508,0.508,2.5,-0.1,27,"$16,000,000 ",*9,SS
2015,26,COL,NL,150,620,-5,4,-1,3,4,4,0.4,20,25,2.3,0.503,0.503,2,0.6,22,"$517,500 ",*4,AS
2015,27,COL,NL,116,354,0,-1,1,3,-5,-2,-0.3,12,9,0.8,0.498,0.498,0.5,-0.3,6,,37/9,
2015,29,COL,NL,106,281,-10,1,1,-5,-3,-17,-1.9,9,-8,-1,0.482,0.488,-0.5,-1,-3,,798,
2015,31,COL,NL,103,389,5,-2,0,-3,6,6,0.6,13,19,1.8,0.506,0.504,2.1,0.3,22,"$3,100,000 ",2,
2015,28,COL,NL,101,209,-12,0,0,-1,2,-11,-1.2,7,-4,-0.6,0.488,0.493,-0.5,0.1,-3,"$1,500,000 ",64/359,
2015,30,COL,NL,87,351,3,0,-2,-1,4,4,0.4,11,16,1.5,0.506,0.503,1.6,0.3,17,,6,AS
2015,26,COL,NL,87,242,-8,0,-1,-7,-3,-19,-2.1,8,-11,-1.3,0.477,0.487,-0.6,-1.1,-4,"$2,800,000 ",3/D2,
2015,27,COL,NL,72,131,-7,1,1,-3,0,-8,-0.9,4,-4,-0.5,0.487,0.494,-0.2,-0.3,-1,,75/64,
2015,26,COL,NL,65,234,7,0,0,-7,-2,-2,-0.3,8,6,0.5,0.497,0.499,1.2,-1,13,"$512,500 ",7/8D,
2015,30,COL,NL,58,152,-2,-2,0,-3,2,-6,-0.6,5,-1,-0.2,0.49,0.496,0.2,-0.1,2,"$1,087,600 ",2/D,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.6,,,,,,,,
