Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,25,KCR,AL,142,553,-6,-3,-3,5,9,2,0.3,20,22,2.2,0.501,0.501,1.7,1.5,17,"$1,750,000 ",*2/D3,ASGG
2015,25,KCR,AL,158,667,16,3,1,0,-9,11,1.3,24,34,3.6,0.507,0.507,3.6,-0.9,34,"$5,650,000 ",*3/D9,MVP-24GG
2015,33,KCR,AL,124,455,-29,0,1,3,3,-23,-2.4,16,-6,-0.8,0.48,0.485,-1.1,0.7,-10,"$7,500,000 ",*4,
2015,28,KCR,AL,148,662,-27,4,1,-1,8,-16,-1.6,23,6,0.6,0.488,0.489,0.7,0.8,7,"$3,000,000 ",*6,ASGG
2015,26,KCR,AL,147,614,15,-2,1,4,3,20,2.3,22,42,4.4,0.515,0.513,4,0.8,38,"$2,640,000 ",*5,ASMVP-21
2015,31,KCR,AL,104,422,10,-1,1,7,-4,12,1.4,15,27,2.8,0.512,0.508,2.1,0.4,20,"$12,500,000 ",7/D,AS
2015,29,KCR,AL,140,604,20,6,0,18,3,47,5.1,21,68,7.2,0.536,0.531,5.3,2.3,50,"$2,725,000 ",*8/9D,ASMVP-3
2015,34,KCR,AL,105,411,-15,1,0,-6,-4,-24,-2.5,15,-10,-1.1,0.475,0.484,-0.5,-1,-4,"$11,000,000 ",9,
2015,32,KCR,AL,158,639,22,-3,-3,-2,-14,0,0.2,23,23,2.4,0.5,0.5,2.7,-1.6,25,"$6,500,000 ",*D/3,MVP-18SS
2015,34,KCR,AL,59,264,7,0,0,-4,0,2,0.3,9,11,1.2,0.504,0.501,1.6,-0.4,15,"$7,500,000 ",47/5D9,
2015,29,KCR,AL,86,251,-5,0,1,8,-4,1,0.1,9,10,1,0.501,0.5,0.1,0.5,2,,97/8D,
2015,30,KCR,AL,90,225,-3,6,0,11,-1,13,1.5,8,21,2.2,0.516,0.509,1.1,1.1,10,"$1,225,000 ",879/D,
2015,26,KCR,AL,43,119,-1,-1,0,2,2,1,0.1,4,5,0.6,0.503,0.501,0.3,0.4,3,"$509,525 ",64/5,
