Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,25,DET,AL,114,425,-7,-4,-2,0,7,-6,-0.5,15,9,0.9,0.495,0.496,1,0.8,9,"$507,500 ",*2/D,
2015,32,DET,AL,119,511,40,-3,-3,4,-7,32,3.5,18,50,5.2,0.528,0.521,4.8,-0.3,46,"$22,000,000 ",3D,ASMVP-11SS
2015,33,DET,AL,154,675,11,-1,0,19,4,33,3.7,23,56,6,0.523,0.522,4,2.5,37,"$16,000,000 ",*4/D,MVP-21
2015,25,DET,AL,120,454,-1,-5,1,-3,6,-1,-0.1,16,15,1.5,0.499,0.499,1.9,0.4,18,"$1,443,750 ",*6,AS
2015,23,DET,AL,154,595,-2,-3,-3,-9,2,-16,-1.5,21,6,0.5,0.489,0.49,1.5,-0.6,15,"$525,000 ",*5/D,
2015,29,DET,AL,102,427,15,1,0,11,-4,23,2.5,15,38,4,0.524,0.515,2.8,0.8,27,"$10,500,000 ",7/D,MVP-13GG
2015,24,DET,AL,140,535,-3,1,0,-12,3,-12,-1.1,19,7,0.7,0.491,0.492,2,-0.9,19,"$515,000 ",*8,
2015,27,DET,AL,158,657,29,-2,1,4,-7,24,2.7,24,47,5,0.516,0.516,4.6,-0.2,43,"$3,000,000 ",*9D,ASMVP-15SS
2015,36,DET,AL,120,485,-14,-3,-3,-1,-10,-31,-3.3,17,-14,-1.6,0.472,0.479,-1.5,-1.1,-13,"$14,000,000 ",D3,
2015,34,DET,AL,112,370,2,-1,0,3,-2,2,0.3,13,16,1.6,0.502,0.501,1.3,0.2,12,"$5,000,000 ",879/D,
2015,28,DET,AL,67,219,-5,-3,0,-2,1,-8,-0.9,8,0,-0.1,0.486,0.494,0.1,0,1,"$5,400,000 ",23/D,
2015,25,DET,AL,60,207,-1,-1,1,-5,-3,-9,-0.9,7,-1,-0.2,0.485,0.494,0.4,-0.8,4,,7D/9,
2015,29,DET,AL,109,203,-5,1,0,11,2,8,0.9,7,15,1.6,0.508,0.505,0.4,1.4,4,"$520,000 ",5634/7D,
