Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,31,NYY,AL,135,535,3,-3,0,0,7,7,0.9,19,26,2.8,0.506,0.505,2.8,0.8,26,"$17,000,000 ",*23/D,MVP-24SS
2015,35,NYY,AL,111,462,23,-2,0,5,-6,20,2.2,17,36,3.8,0.519,0.513,3.3,-0.1,31,"$23,125,000 ",3/D,ASMVP-28
2015,32,NYY,AL,131,428,-11,0,0,-3,4,-11,-1.1,15,4,0.4,0.491,0.493,0.7,0.2,7,"$5,000,000 ",*46/5,
2015,25,NYY,AL,155,578,-4,1,2,5,8,11,1.3,21,32,3.3,0.507,0.507,2.8,1.5,27,"$553,900 ",*6,
2015,31,NYY,AL,156,642,-5,0,-2,-7,3,-12,-1.1,23,11,1.1,0.492,0.492,1.9,-0.4,18,"$13,000,000 ",*5/3,
2015,31,NYY,AL,151,656,7,2,2,1,-4,9,1.1,23,32,3.3,0.506,0.506,3.3,-0.2,31,"$12,500,000 ",*78,AS
2015,31,NYY,AL,111,501,-5,2,1,1,2,1,0.3,17,18,1.9,0.501,0.501,1.8,0.4,17,"$21,142,857 ",*8,
2015,38,NYY,AL,133,531,11,0,-1,-14,-5,-10,-0.9,19,9,1,0.492,0.494,2.5,-2,23,"$15,000,000 ",*9/D,
2015,39,NYY,AL,151,620,22,0,-1,-1,-13,7,0.9,22,29,3.1,0.505,0.505,3.2,-1.4,30,"$22,000,000 ",*D/53,MVP-28
2015,31,NYY,AL,140,356,8,0,-1,-3,-5,-1,-0.1,13,11,1.2,0.499,0.499,1.5,-0.8,14,"$2,500,000 ",*978/D,
2015,22,NYY,AL,46,178,8,-1,0,-3,-2,2,0.3,6,8,0.9,0.505,0.501,1.2,-0.6,11,,3,
2015,24,NYY,AL,67,172,0,0,0,-4,3,-2,-0.1,6,4,0.5,0.497,0.499,0.9,-0.1,9,"$518,700 ",2/D,
2015,34,NYY,AL,57,152,-7,0,1,-3,-3,-11,-1.2,5,-6,-0.6,0.479,0.492,-0.3,-0.6,-3,"$5,000,000 ",93/D71,
